ip,port
192.168.202.79,39047
192.168.202.79,33614
192.168.202.79,46481
192.168.202.79,39056
192.168.202.79,33622
192.168.202.79,46488
192.168.202.79,39063
192.168.202.79,33630
192.168.202.79,46497
192.168.202.79,39072
192.168.202.79,33638
192.168.202.79,46504
192.168.202.79,39080
192.168.202.79,33646
192.168.202.79,46513
192.168.202.79,39088
192.168.202.79,33654
192.168.202.79,46520
192.168.202.79,39095
192.168.202.79,33662
192.168.202.79,46529
192.168.202.79,39104
192.168.202.79,33670
192.168.202.79,46536
192.168.202.79,39111
192.168.202.79,33678
192.168.202.79,46545
192.168.202.79,39120
192.168.202.79,33686
192.168.202.79,46552
192.168.202.79,39127
192.168.202.79,33694
192.168.202.79,46561
192.168.202.79,39136
192.168.202.79,33702
192.168.202.79,46568
192.168.202.79,39144
192.168.202.79,33710
192.168.202.79,46577
192.168.202.79,39152
192.168.202.79,33718
192.168.202.79,46585
192.168.202.79,39159
192.168.202.79,33726
192.168.202.79,46593
192.168.202.79,39168
192.168.202.79,33734
192.168.202.79,46600
192.168.202.79,39175
192.168.202.79,33742
192.168.202.79,46609
192.168.202.79,39184
192.168.202.79,33750
192.168.202.79,46616
192.168.202.79,39192
192.168.202.79,33758
192.168.202.79,46625
192.168.202.79,39200
192.168.202.79,33766
192.168.202.79,46632
192.168.202.79,39207
192.168.202.79,33774
192.168.202.79,46641
192.168.202.79,39216
192.168.202.79,33782
192.168.202.79,46649
192.168.202.79,39223
192.168.202.79,33790
192.168.202.79,46657
192.168.202.79,39232
192.168.202.79,33798
192.168.202.79,46664
192.168.202.79,39239
192.168.202.79,33806
192.168.202.79,46673
192.168.202.79,39248
192.168.202.79,33814
192.168.202.79,46680
192.168.202.79,39256
192.168.202.79,33822
192.168.202.79,46689
192.168.202.79,39264
192.168.202.79,33830
192.168.202.79,46696
192.168.202.79,39271
192.168.202.79,33838
192.168.202.79,46705
192.168.202.79,39280
192.168.202.79,33846
192.168.202.79,46713
192.168.202.79,39287
192.168.202.79,33854
192.168.202.79,46721
192.168.202.79,39296
192.168.202.79,33862
192.168.202.79,46729
192.168.202.79,39303
192.168.202.79,33870
192.168.202.79,46737
192.168.202.79,39312
192.168.202.79,33878
192.168.202.79,46745
192.168.202.79,39319
192.168.202.79,33886
192.168.202.79,46753
192.168.202.79,39328
192.168.202.79,33894
192.168.202.79,46760
192.168.202.79,39335
192.168.202.79,33902
192.168.202.79,46769
192.168.202.79,39344
192.168.202.79,46775
192.168.202.79,39351
192.168.202.79,33917
192.168.202.79,46784
192.168.202.79,39359
192.168.202.79,46789
192.168.202.79,39364
192.168.202.79,33930
192.168.202.79,46798
192.168.202.79,39372
192.168.202.79,46802
192.168.202.79,39377
192.168.202.79,33944
192.168.202.79,46811
192.168.202.79,39385
192.168.202.79,46815
192.168.202.79,39390
192.168.202.79,33957
192.168.202.79,46824
192.168.202.79,39399
192.168.202.79,46829
192.168.202.79,39404
192.168.202.79,33970
192.168.202.79,46838
192.168.202.79,46841
192.168.202.79,39416
192.168.202.79,33983
192.168.202.79,46851
192.168.202.79,39426
192.168.202.79,33992
192.168.202.79,46859
192.168.202.79,39434
192.168.202.79,34000
192.168.202.79,46867
192.168.202.79,39442
192.168.202.79,34009
192.168.202.79,46875
192.168.202.79,39450
192.168.202.79,34017
192.168.202.79,46883
192.168.202.79,39458
192.168.202.79,34024
192.168.202.79,46891
192.168.202.79,39466
192.168.202.79,34032
