1,2,3,4,5,6,7,8,9,10
07/25-18:05:31.785504, 37917, TCP, stream_tcp, 16397, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.827900, 37982, TCP, stream_tcp, 16336, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:31.845524, 38016, TCP, stream_tcp, 16349, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:31.845524, 38016, TCP, stream_tcp, 16349, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:31.860003, 38032, TCP, stream_tcp, 16327, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:32.023047, 38295, TCP, stream_tcp, 16341, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.029184, 38438, TCP, stream_tcp, 16399, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.307147, 38741, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.361321, 38825, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:34.378985, 38840, TCP, stream_tcp, 16397, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.389689, 38854, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:34.397101, 38872, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.594882, 39133, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.680895, 39265, TCP, stream_tcp, 16388, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.900103, 39588, TCP, stream_tcp, 16332, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.951260, 39669, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:34.969241, 39685, TCP, stream_tcp, 16430, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:34.976071, 39701, TCP, stream_tcp, 16348, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:34.985757, 39717, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:35.678996, 39969, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:35.783107, 40098, TCP, stream_tcp, 16327, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:36.013362, 40424, TCP, stream_tcp, 16366, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:36.079279, 40522, TCP, stream_tcp, 16359, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:36.079279, 40522, TCP, stream_tcp, 16359, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:36.105185, 40557, TCP, stream_tcp, 16419, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:36.270074, 40800, TCP, stream_tcp, 16408, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:36.370268, 40947, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.065161, 41270, TCP, stream_tcp, 16345, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.159723, 41355, TCP, stream_tcp, 16344, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.159723, 41355, TCP, stream_tcp, 16344, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:37.190286, 41384, TCP, stream_tcp, 16341, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.377311, 41628, TCP, stream_tcp, 16388, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.476757, 41776, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.688468, 42085, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.742025, 42169, TCP, stream_tcp, 16327, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:37.757521, 42183, TCP, stream_tcp, 16356, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.762837, 42200, TCP, stream_tcp, 16372, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:37.772310, 42217, TCP, stream_tcp, 16439, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:37.935147, 42459, TCP, stream_tcp, 16343, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:38.070870, 42602, TCP, stream_tcp, 16338, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
